,healthex_per_gov,age_dependency,trade_per_gdp,pcgni_current_dollar,mater_death_risk,lifeexp_total
Afghanistan,2.01440592,2.49313992141566,41.6648594837634,494.301629555736,1.92613064033961,63.288
Angola,3.72920041,2.30631381507902,46.3654147076063,2062.99344018475,3.08488586514674,61.241
Albania,9.50813335,12.5367044406558,54.8877983994222,3458.72571382078,0.0533605376602974,78.174
United Arab Emirates,7.9920704,1.02185835686872,157.342875998574,36198.9123519401,0.0126547581642024,77.101
Argentina,12.34111794,10.926301710832,19.6703052646326,11728.0350628474,0.126378673709558,76.415
Armenia,6.1153032,10.909237388368,44.7685097018475,3173.76442467063,0.0426649319269288,74.445
Austria,15.09769519,18.840484190123,80.8622040051994,35926.9451104537,0.00549181763519936,81.190243902439
Azerbaijan,4.12761282,5.73811196358632,48.6279908054432,4478.77290178201,0.0624985171781498,71.921
Burundi,11.7736975,2.50248302084365,27.1578711641803,217.507402955128,4.27294827484083,57.094
Belgium,16.0237466,18.1423094027785,169.668519300754,32465.900800307,0.0125656689169982,80.9926829268293
Benin,3.36525483,3.22771888525969,51.1714542884692,655.328293684515,1.97406593169003,60.639
Burkina Faso,7.16691423,2.40787396392306,50.4487492284417,414.970219745857,2.07012733487273,59.927
Bangladesh,2.81068838,5.03816895894728,38.1517552287261,1173.70148579747,0.421170638324937,72.155
Bulgaria,10.29956269,20.0764734173787,108.790476932098,5797.3397623853,0.0161819666750275,74.6146341463415
Bahrain,9.49601282,2.32437101588725,87.1969089682187,19133.7827307394,0.0336879110838102,76.761
"Bahamas, The",14.15178571,8.30606093506842,29.4641418552784,25421.2345492636,0.151994426578404,75.527
Bosnia and Herzegovina,14.86903481,15.7170568340544,86.8932522200609,3968.58875183295,0.0146235949769799,76.735
Belarus,8.48130824,14.3353435018257,100.880644659354,5170.60247118984,0.00722080615509968,73.6243902439025
Belize,11.05561348,3.76244127273942,86.760885649703,3799.85231065635,0.079141228679211,70.192
Bolivia,9.78629319,6.46546455123941,54.2461256054375,2484.4957299105,0.643990641431459,68.756
Brazil,7.66478041,7.96042299198064,20.5284402005942,7460.85652363244,0.080088381024304,75.284
Barbados,7.4113316,14.1638255276778,45.8321171863923,13618.1664182409,0.0472529213506724,75.755
Brunei Darussalam,6.37446662,4.09515689439625,74.1024465693554,27860.1361791001,0.0433951703880117,77.046
Bhutan,9.09639215,4.67953456119362,78.1489099772576,2111.90813889542,0.324892973633816,69.817
Botswana,8.82353734,3.72596920962685,94.2028058721422,5054.85656707917,0.374878929284902,65.846
Central African Republic,4.0802055,3.65988429642991,27.2652119610417,281.764389180876,3.66834268077078,51.41
Canada,19.06859673,16.147699554397,53.7914906947681,35175.1889821638,0.0113285425503039,82.1290243902439
Central Europe and the Baltics,11.2782250835263,16.9090038447645,110.620212898353,9999.404994545,0.016057394809992,76.5910702431929
Switzerland,25.16240009,17.996581395469,79.926154896565,66815.6884983083,0.00804657373270495,82.8975609756098
Chile,19.58235452,10.4192435815292,51.0983802735465,10725.5866392518,0.0391481199687158,79.315
China,10.10871251,9.67614467934214,35.7266446093123,6352.62632715766,0.0423007617254136,76.092
Cote d'Ivoire,5.03532707,2.88510205261516,53.6483432251495,1320.05052774319,3.16816116729078,53.053
Cameroon,3.11351671,3.1618923312693,33.0899253555846,1141.00077693389,2.88839261775741,57.582
"Congo, Dem. Rep.",4.95306918,3.01772969742923,31.9112141198574,345.712966460038,4.09065618786047,59.205
"Congo, Rep.",3.07526187,3.36590968779225,116.815439312244,1114.34037968003,2.2239749944736,64.112
Colombia,12.19449639,7.0390041845833,30.6889466005591,5033.5000390578,0.125686759130017,74.2
Comoros,3.80292332,2.89327316882422,23.3282820990053,666.278184448293,1.51743712608214,63.473
Cabo Verde,10.82246938,4.47127392276038,42.0141457509067,2201.20805161145,0.111282934081365,72.599
Costa Rica,18.80351416,8.90106434224681,46.9088224588717,10169.6681331699,0.0476442590364388,79.634
Caribbean small states,9.90588748583523,8.41570001150124,60.1437793580296,8020.20658439613,0.214714539843539,73.0627324010547
Cyprus,7.13643189,12.8328100707589,52.4244638858741,20204.8864136398,0.0106710874824411,80.344
Germany,21.4178239,21.1175632227669,70.4511448305493,34795.6406867135,0.00852045989664896,80.6414634146341
Denmark,15.84809241,19.04744409746,60.1090613864628,45583.101940809,0.0105353605844449,80.7024390243902
Dominican Republic,9.46947615,6.65267656206635,38.2957832037709,5800.16468354083,0.247818200088967,73.673
Algeria,10.66787329,5.86978507570615,52.0366165084011,3396.91344061183,0.419341330359853,75.86
East Asia & Pacific (excluding high income),10.0295971112869,8.46497339629843,42.148954604188,5168.5938144359,0.116202378027773,74.3349735695129
East Asia & Pacific,10.4536949615276,9.69110035790211,47.2104764446403,7654.95388248299,0.107786695284654,75.2489157797136
Europe & Central Asia (excluding high income),9.74833468646667,11.3335575322263,46.7388745832686,6084.12532131626,0.0499017961909558,72.5357946123156
Europe & Central Asia,15.8107725775186,15.621097583638,62.0191060636895,18461.035641716,0.02965261551704,77.1566342219048
Ecuador,10.95158614,6.70420793183109,40.1333720332889,5101.4698592989,0.17197406815503,76.102
"Egypt, Arab Rep.",4.18146719,5.06322196171621,25.5255485535415,3183.98078808425,0.12298936949235,71.304
Euro area,16.2484110496762,19.9025895261675,68.4156783530853,28136.3635911552,0.00971219960858294,81.5596100692018
Spain,14.87777218,18.877525816817,49.6325550059305,21197.2302987977,0.00681134399665327,82.8317073170732
Estonia,12.15917793,18.8217933112906,121.28514478737,14031.6388858131,0.0158012739204395,77.590243902439
Ethiopia,5.97970163,3.48039795687391,30.9676966819511,482.564910855153,1.55595120961611,65.037
European Union,16.4115733987793,19.1350721536612,64.7698695797002,26551.8440634665,0.0119263331273315,80.6141187762953
Finland,12.83297174,20.2644635154614,51.755290042547,34699.8978745898,0.00460834695130561,81.4804878048781
Fiji,7.23446823,5.83120084201182,68.2243826885246,4131.98427381014,0.0812783799723697,70.117
France,15.31336538,18.9384456827407,44.2823305289008,30555.5623335276,0.0165042242125008,82.2731707317073
Gabon,6.99789303,4.51466835908661,60.0622982534226,5213.81715471084,1.17395668672509,65.685
United Kingdom,18.51264921,18.1215155172066,37.6536591848273,37445.5459908737,0.0173432025961854,80.9560975609756
Georgia,10.4772118,14.6154749408076,67.9241665557651,3250.06080405905,0.0677023774558366,73.096
Ghana,7.08173819,3.38640126765859,48.363670092499,874.584970324678,1.34487920620275,62.448
Guinea,2.73057595,3.05495589351656,45.1763538632863,532.979935874493,3.46211265802785,59.419
"Gambia, The",10.62152018,2.32940093750474,37.712981947433,305.433425149076,4.11083562322586,60.954
Guinea-Bissau,9.50817907,2.87688517423636,43.8258095363046,481.935017965071,2.62201945116273,57.0
Equatorial Guinea,1.26101414,2.89146827135527,75.8714091094515,4631.19815639359,1.64233611138483,57.434
